President,Born,Age at start of presidency,Age at end of presidency,Post-presidency timespan,Died,Age
George Washington,"Feb 22, 1732[a]","57 years, 67 days Apr 30, 1789","65 years, 10 days Mar 4, 1797","2 years, 285 days","Dec 14, 1799","67 years, 295 days"
John Adams,"Oct 30, 1735[a]","61 years, 125 days Mar 4, 1797","65 years, 125 days Mar 4, 1801","25 years, 122 days","Jul 4, 1826","90 years, 247 days"
Thomas Jefferson,"Apr 13, 1743[a]","57 years, 325 days Mar 4, 1801","65 years, 325 days Mar 4, 1809","17 years, 122 days","Jul 4, 1826","83 years, 82 days"
James Madison,"Mar 16, 1751[a]","57 years, 353 days Mar 4, 1809","65 years, 353 days Mar 4, 1817","19 years, 116 days","Jun 28, 1836","85 years, 104 days"
James Monroe,"Apr 28, 1758","58 years, 310 days Mar 4, 1817","66 years, 310 days Mar 4, 1825","6 years, 122 days","Jul 4, 1831","73 years, 67 days"
John Quincy Adams,"Jul 11, 1767","57 years, 236 days Mar 4, 1825","61 years, 236 days Mar 4, 1829","18 years, 356 days","Feb 23, 1848","80 years, 227 days"
Andrew Jackson,"Mar 15, 1767","61 years, 354 days Mar 4, 1829","69 years, 354 days Mar 4, 1837","8 years, 96 days","Jun 8, 1845","78 years, 85 days"
Martin Van Buren,"Dec 5, 1782","54 years, 89 days Mar 4, 1837","58 years, 89 days Mar 4, 1841","21 years, 142 days","Jul 24, 1862","79 years, 231 days"
William Henry Harrison,"Feb 9, 1773","68 years, 23 days Mar 4, 1841","68 years, 54 days  Apr 4, 1841",0 days[b],"Apr 4, 1841","68 years, 54 days"
John Tyler,"Mar 29, 1790","51 years, 6 days Apr 4, 1841","54 years, 340 days Mar 4, 1845","16 years, 320 days","Jan 18, 1862","71 years, 295 days"
James K. Polk,"Nov 2, 1795","49 years, 122 days Mar 4, 1845","53 years, 122 days Mar 4, 1849",103 days,"Jun 15, 1849","53 years, 225 days"
Zachary Taylor,"Nov 24, 1784","64 years, 100 days Mar 4, 1849","65 years, 227 days Jul 9, 1850",0 days[b],"Jul 9, 1850","65 years, 227 days"
Millard Fillmore,"Jan 7, 1800","50 years, 183 days Jul 9, 1850","53 years, 56 days Mar 4, 1853","21 years, 4 days","Mar 8, 1874","74 years, 60 days"
Franklin Pierce,"Nov 23, 1804","48 years, 101 days Mar 4, 1853","52 years, 101 days Mar 4, 1857","12 years, 218 days","Oct 8, 1869","64 years, 319 days"
James Buchanan,"Apr 23, 1791","65 years, 315 days Mar 4, 1857","69 years, 315 days Mar 4, 1861","7 years, 89 days","Jun 1, 1868","77 years, 39 days"
Abraham Lincoln,"Feb 12, 1809","52 years, 20 days Mar 4, 1861","56 years, 62 days Apr 15, 1865",0 days[b],"Apr 15, 1865","56 years, 62 days"
Andrew Johnson,"Dec 29, 1808","56 years, 107 days Apr 15, 1865","60 years, 65 days Mar 4, 1869","6 years, 149 days","Jul 31, 1875","66 years, 214 days"
Ulysses S. Grant,"Apr 27, 1822","46 years, 311 days Mar 4, 1869","54 years, 311 days Mar 4, 1877","8 years, 141 days","Jul 23, 1885","63 years, 87 days"
Rutherford B. Hayes,"Oct 4, 1822","54 years, 151 days Mar 4, 1877","58 years, 151 days Mar 4, 1881","11 years, 319 days","Jan 17, 1893","70 years, 105 days"
James A. Garfield,"Nov 19, 1831","49 years, 105 days Mar 4, 1881","49 years, 304 days Sep 19, 1881",0 days[b],"Sep 19, 1881","49 years, 304 days"
Chester A. Arthur,"Oct 5, 1829","51 years, 349 days Sep 19, 1881","55 years, 150 days Mar 4, 1885","1 year, 259 days","Nov 18, 1886","57 years, 44 days"
Grover Cleveland,"Mar 18, 1837","47 years, 351 days Mar 4, 1885","51 years, 351 days Mar 4, 1889","4 years, 0 days[c]","Jun 24, 1908","71 years, 98 days"
Benjamin Harrison,"Aug 20, 1833","55 years, 196 days Mar 4, 1889","59 years, 196 days Mar 4, 1893","8 years, 9 days","Mar 13, 1901","67 years, 205 days"
Grover Cleveland,"Mar 18, 1837","55 years, 351 days Mar 4, 1893","59 years, 351 days Mar 4, 1897","11 years, 112 days[d]","Jun 24, 1908","71 years, 98 days"
William McKinley,"Jan 29, 1843","54 years, 34 days Mar 4, 1897","58 years, 228 days Sep 14, 1901",0 days[b],"Sep 14, 1901","58 years, 228 days"
Theodore Roosevelt,"Oct 27, 1858","42 years, 322 days Sep 14, 1901","50 years, 128 days Mar 4, 1909","9 years, 308 days","Jan 6, 1919","60 years, 71 days"
William Howard Taft,"Sep 15, 1857","51 years, 170 days Mar 4, 1909","55 years, 170 days Mar 4, 1913","17 years, 4 days","Mar 8, 1930","72 years, 174 days"
Woodrow Wilson,"Dec 28, 1856","56 years, 66 days Mar 4, 1913","64 years, 66 days Mar 4, 1921","2 years, 336 days","Feb 3, 1924","67 years, 37 days"
Warren G. Harding,"Nov 2, 1865","55 years, 122 days Mar 4, 1921","57 years, 273 days Aug 2, 1923",0 days[b],"Aug 2, 1923","57 years, 273 days"
Calvin Coolidge,"Jul 4, 1872","51 years, 29 days Aug 2, 1923","56 years, 243 days Mar 4, 1929","3 years, 307 days","Jan 5, 1933","60 years, 185 days"
